2020-08-19 12:08:47 INFO  Browser :82 - URL has been opened: http://computer-database.herokuapp.com/computers
2020-08-19 12:08:546 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:577 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:586 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:612 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:613 INFO  BaseClass :98 - Success message is displayed
2020-08-19 12:08:951 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: add]
2020-08-19 12:08:978 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: add]
2020-08-19 12:08:319 INFO  BaseClass :65 - Clicked on element: Proxy element for: DefaultElementLocator 'By.id: add'
2020-08-19 12:08:329 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: name]
2020-08-19 12:08:361 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: name]
2020-08-19 12:08:458 INFO  BaseClass :81 - Entered text: ASUS ROG 3 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: name]
2020-08-19 12:08:466 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: introduced]
2020-08-19 12:08:495 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: introduced]
2020-08-19 12:08:591 INFO  BaseClass :81 - Entered text: 2020-06-10 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: introduced]
2020-08-19 12:08:600 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: discontinued]
